,Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
869,869,0 days 02:30:51.095000,HUL,27,0 days 00:01:29.217000,58,3,,,17.922,38.602,32.693,0 days 02:29:39.807000,0 days 02:30:18.409000,0 days 02:30:51.102000,,293,213,296,true,HARD,25,true,Haas F1 Team,0 days 02:29:21.878000,2023-11-26 14:30:23.003,1,15,false,,false,true,89.217,89.217
870,870,0 days 01:04:06.797000,SAR,2,0 days 00:01:42.022000,1,1,,,,40.261,36.662,,0 days 01:03:30.237000,0 days 01:04:07.003000,288,264,216,241,false,MEDIUM,2,false,Williams,0 days 01:02:24.519000,2023-11-26 13:03:25.644,1,20,false,,false,false,102.022,
871,871,0 days 01:05:40.379000,SAR,2,0 days 00:01:33.582000,2,1,,,18.676,40.296,34.61,0 days 01:04:25.494000,0 days 01:05:05.790000,0 days 01:05:40.400000,287,303,210,321,false,MEDIUM,3,false,Williams,0 days 01:04:06.797000,2023-11-26 13:05:07.922,1,20,true,TRACK LIMITS AT TURN 7 LAP 2 ,false,true,93.582,93.582
872,872,0 days 01:07:11.779000,SAR,2,0 days 00:01:31.400000,3,1,,,18.597,38.063,34.74,0 days 01:05:58.997000,0 days 01:06:37.060000,0 days 01:07:11.800000,286,314,212,324,true,MEDIUM,4,false,Williams,0 days 01:05:40.379000,2023-11-26 13:06:41.504,1,20,false,,false,true,91.4,91.4
873,873,0 days 01:08:43.266000,SAR,2,0 days 00:01:31.487000,4,1,,,18.657,38.143,34.687,0 days 01:07:30.457000,0 days 01:08:08.600000,0 days 01:08:43.287000,287,310,209,317,false,MEDIUM,5,false,Williams,0 days 01:07:11.779000,2023-11-26 13:08:12.904,1,20,false,,false,true,91.487,91.487
874,874,0 days 01:10:15.541000,SAR,2,0 days 00:01:32.275000,5,1,,,18.654,38.115,35.506,0 days 01:09:01.941000,0 days 01:09:40.056000,0 days 01:10:15.562000,289,317,209,313,false,MEDIUM,6,false,Williams,0 days 01:08:43.266000,2023-11-26 13:09:44.391,1,19,false,,false,true,92.275,92.275
875,875,0 days 01:11:47.253000,SAR,2,0 days 00:01:31.712000,6,1,,,18.667,38.69,34.355,0 days 01:10:34.229000,0 days 01:11:12.919000,0 days 01:11:47.274000,286,309,209,311,false,MEDIUM,7,false,Williams,0 days 01:10:15.541000,2023-11-26 13:11:16.666,1,19,false,,false,true,91.712,91.712
876,876,0 days 01:13:18.410000,SAR,2,0 days 00:01:31.157000,7,1,,,18.443,38.482,34.232,0 days 01:12:05.717000,0 days 01:12:44.199000,0 days 01:13:18.431000,287,309,210,315,true,MEDIUM,8,false,Williams,0 days 01:11:47.253000,2023-11-26 13:12:48.378,1,19,false,,false,true,91.157,91.157
877,877,0 days 01:14:49.952000,SAR,2,0 days 00:01:31.542000,8,1,,,18.441,38.743,34.358,0 days 01:13:36.872000,0 days 01:14:15.615000,0 days 01:14:49.973000,288,308,205,312,false,MEDIUM,9,false,Williams,0 days 01:13:18.410000,2023-11-26 13:14:19.535,1,18,false,,false,true,91.542,91.542
878,878,0 days 01:16:21.360000,SAR,2,0 days 00:01:31.408000,9,1,,,18.565,38.683,34.16,0 days 01:15:08.538000,0 days 01:15:47.221000,0 days 01:16:21.381000,,309,207,310,false,MEDIUM,10,false,Williams,0 days 01:14:49.952000,2023-11-26 13:15:51.077,1,18,false,,false,true,91.408,91.408
879,879,0 days 01:17:53.398000,SAR,2,0 days 00:01:32.038000,10,1,,,18.514,38.774,34.75,0 days 01:16:39.895000,0 days 01:17:18.669000,0 days 01:17:53.419000,283,304,208,312,false,MEDIUM,11,false,Williams,0 days 01:16:21.360000,2023-11-26 13:17:22.485,1,18,true,TRACK LIMITS AT TURN 4 LAP 10 ,false,true,92.038,92.038
880,880,0 days 01:19:25.280000,SAR,2,0 days 00:01:31.882000,11,1,,,18.495,38.782,34.605,0 days 01:18:11.914000,0 days 01:18:50.696000,0 days 01:19:25.301000,287,307,208,310,false,MEDIUM,12,false,Williams,0 days 01:17:53.398000,2023-11-26 13:18:54.523,1,18,false,,false,true,91.882,91.882
881,881,0 days 01:20:57.169000,SAR,2,0 days 00:01:31.889000,12,1,,,18.484,38.898,34.507,0 days 01:19:43.785000,0 days 01:20:22.683000,0 days 01:20:57.190000,,304,208,309,false,MEDIUM,13,false,Williams,0 days 01:19:25.280000,2023-11-26 13:20:26.405,1,18,false,,false,true,91.889,91.889
